
16时00分18秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分38秒     0         -       731    0.60    1.20    0.00    0.00    1.80     2  |__glog
16时00分38秒     0         -       732    0.40    0.00    0.00    0.00    0.40     0  |__fast-rnn
16时00分38秒     0         -       733   10.40    1.20    0.00    0.00   11.60     0  |__cnn-1
16时00分38秒     0         -       737    6.40    0.20    0.00    0.00    6.60     1  |__mc
16时00分38秒     0         -       738    2.80    0.60    0.00    0.00    3.40     3  |__fast-rnn
16时00分38秒     0         -       739    7.40    0.40    0.00    0.00    7.80     3  |__fast-rnn
16时00分38秒     0         -       740    4.20    0.20    0.00    0.00    4.40     3  |__fast-rnn
16时00分38秒     0         -       742    0.00    0.20    0.00    0.00    0.20     3  |__fast-rnn
16时00分38秒     0         -       743   10.80    0.40    0.00    0.00   11.20     3  |__fast-rnn
16时00分38秒     0         -       744   10.60    0.20    0.00    0.00   10.80     3  |__fast-rnn
16时00分38秒     0         -       745    8.60    0.60    0.00    0.00    9.20     3  |__fast-rnn
16时00分38秒     0         -       746    8.60    1.20    0.00    0.00    9.80     3  |__fast-rnn
16时00分38秒     0         -       747    3.00    0.20    0.00    0.00    3.20     3  |__fast-rnn
16时00分38秒     0         -       749   34.80    0.00    0.00    0.00   34.80     1  |__rnn
16时00分38秒     0         -       750    0.40    0.00    0.00    0.00    0.40     1  |__rnn
16时00分38秒     0         -       752    1.20    0.20    0.00    0.00    1.40     2  |__rnn
16时00分38秒     0         -       753    0.20    0.40    0.00    0.00    0.60     2  |__rnn
16时00分38秒     0         -       754    1.00    0.00    0.00    0.00    1.00     2  |__rnn
16时00分38秒     0         -       760   21.60    0.20    0.00    0.00   21.80     2  |__rnn
16时00分38秒     0         -       761    2.60    0.00    0.00    0.00    2.60     0  |__rnn
16时00分38秒     0         -       805    0.20    0.00    0.00    0.00    0.20     2  |__rnn
16时00分38秒     0         -       811    0.00    0.20    0.00    0.00    0.20     0  |__rbf
16时00分38秒     0       759         -    0.20    1.00    0.00    0.00    1.20     0  bm
16时00分38秒     0         -       766    0.00    0.80    0.00    0.00    0.80     0  |__cnn-1
16时00分38秒     0         -       773    0.20    0.00    0.00    0.00    0.20     0  |__bm
16时00分38秒     0       788         -    0.40    1.20    0.00    0.00    1.60     0  rbm
16时00分38秒     0         -       791    0.20    1.00    0.00    0.00    1.20     0  |__cnn-1
16时00分38秒     0         -       801    0.00    0.40    0.00    0.00    0.40     0  |__sae
16时00分38秒     0         -       802    0.20    0.00    0.00    0.00    0.20     0  |__saeh
16时00分38秒     0       812         -    3.80    0.60    0.00    0.00    4.40     0  svm
16时00分38秒     0         -       819    0.20    0.20    0.00    0.00    0.40     0  |__upload_info
16时00分38秒     0         -       825    3.40    0.40    0.00    0.00    3.80     0  |__lsm
16时00分38秒     0       840         -    1.40    0.80    0.00    0.00    2.20     0  dae
16时00分38秒     0         -       845    0.00    0.20    0.00    0.00    0.20     0  |__echw
16时00分38秒     0         -       849    1.40    0.80    0.00    0.00    2.20     0  |__cnn-1
16时00分38秒     0       855         -    5.20    1.80    0.00    0.00    7.00     0  dbn
16时00分38秒     0         -       883    0.40    0.40    0.00    0.00    0.80     0  |__dn
16时00分38秒     0         -       892    2.40    0.20    0.00    0.00    2.60     0  |__aac_encode
16时00分38秒     0         -       893    1.20    0.20    0.00    0.00    1.40     0  |__pcm
16时00分38秒     0         -       895    1.40    1.00    0.00    0.00    2.40     0  |__cnn-1
16时00分38秒     0         -       909    0.00    0.20    0.00    0.00    0.20     0  |__ntm
16时00分38秒     0       914         -    0.60    0.40    0.00    0.00    1.00     0  birnn
16时00分38秒     0         -       921    0.00    0.20    0.00    0.00    0.20     0  |__echw
16时00分38秒     0         -       922    0.20    0.20    0.00    0.00    0.40     0  |__esn
16时00分38秒     0      1759         -    0.00    0.20    0.00    0.00    0.20     2  sshd
16时00分38秒     0         -      1759    0.00    0.20    0.00    0.00    0.20     2  |__sshd
16时00分38秒     0      2371         -    0.60    1.00    0.00    0.00    1.60     2  pidstat
16时00分38秒     0         -      2371    0.60    1.00    0.00    0.00    1.60     2  |__pidstat
16时00分38秒     0      2403         -    0.00    0.20    0.00    0.00    0.20     3  top
16时00分38秒     0         -      2403    0.00    0.20    0.00    0.00    0.20     3  |__top

16时00分38秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分43秒     0         1         -    0.20    0.00    0.00    0.00    0.20     2  linuxrc
