procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 272920  24676 736324    0    0     0   124 7571 13563 25  7 68  0  0
 3  1      0 254252  24796 753672    0    0     0  1045 7697 13761 25  8 67  0  0
 1  1      0 203012  24840 806208    0    0     1  3830 7866 13545 27  9 45 20  0
 0  0      0 199924  24880 809696    0    0     0  1342 7693 13717 25  7 67  1  0
 0  0      0 198560  24920 811080    0    0     0   189 7546 13507 25  7 68  0  0
 7  0      0 194160  24952 812464    0    0     0   188 7591 13696 24  7 69  0  0
 2  0      0 195708  24988 813792    0    0     0   150 7635 13685 25  7 68  0  0
 1  1      0 177400  25108 830648    0    0     0  1044 7623 13651 24  7 68  0  0
 1  1      0 156464  25144 850616    0    0    22  4026 7694 13432 24  9 54 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 417696  25216 591836    0    0     1   546 7922 13812 26  9 61  5  0
 1  0      0 415744  25256 593344    0    0     0   185 7551 13519 25  7 68  0  0
 0  0      0 414444  25288 594696    0    0     0   152 7310 13273 23  7 70  0  0
 0  0      0 413232  25324 596088    0    0     0   183 7343 13284 25  7 68  0  0
 1  1      0 394380  25436 614016    0    0     0  1053 7524 13520 25  7 68  1  0
 0  1      0 338944  25488 667984    0    0     1  4141 7866 13704 26  8 52 14  0
 0  0      0 338876  25520 669048    0    0     0  1134 7627 13535 26  7 62  5  0
 2  0      0 337384  25564 670272    0    0     0   194 7480 13406 26  7 67  0  0
 1  0      0 339320  25596 671596    0    0     0   128 7446 13395 26  7 67  0  0
 0  0      0 335800  25640 672948    0    0     0   186 7499 13361 26  7 66  0  0
 4  1      0 318320  25724 690220    0    0     0   989 7667 13640 27  8 65  0  0
 1  0      0 261076  25804 747208    0    0     1  4105 7746 13431 27  9 51 14  0
 1  0      0 261112  25836 747640    0    0     0  1371 7691 13510 26  7 66  1  0
 4  0      0 259888  25868 748964    0    0     0   186 7423 13318 25  7 67  0  0
 6  0      0 256796  25900 750404    0    0     0   128 7498 13450 26  8 66  0  0
 5  0      0 257048  25944 751532    0    0     0   189 7429 13383 26  7 67  0  0
 7  1      0 238688  26048 768692    0    0     0  1063 7704 13627 27  8 65  1  0
 7  1      0 199200  26092 806608    0    0     1  3600 7757 13501 27  8 52 14  0
 4  0      0 181836  26136 826732    0    0     1  1795 7536 13391 26  8 59  8  0
10  0      0 180964  26168 827788    0    0     0   146 7538 13439 26  7 67  0  0
 1  0      0 179632  26196 828980    0    0     0   180 7451 13324 26  7 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 177536  26232 830304    0    0     0   184 7533 13447 26  7 67  0  0
 5  1      0 165440  26356 840168    0    0     1   979 7633 13619 26  7 66  0  0
 4  1      0 167676  26408 838076    0    0     2  2020 7391 13265 24  8 53 15  0
 3  1      0 264336  26460 741948    0    0     1  1814 7531 13221 25  8 53 14  0
12  0      0 435008  26532 572988    0    0     0   976 7549 13287 26  8 55 11  0
 3  0      0 433952  26564 574164    0    0     0   124 7486 13429 26  7 67  0  0
 3  0      0 432280  26596 575408    0    0     0   180 7478 13412 27  7 66  0  0
10  1      0 412516  26740 594472    0    0     1   446 7775 13653 27  8 64  1  0
 3  1      0 378504  26804 626916    0    0     2  3106 7604 13281 28  8 50 14  0
 3  1      0 363032  26876 638660    0    0     1  1599 7633 13311 29  8 56  8  0
 5  0      0 362944  26936 640940    0    0     0   656 7756 13476 30  8 57  6  0
 3  0      0 360124  26972 642136    0    0     0   156 7448 13372 26  7 67  0  0
 4  0      0 358880  26996 643180    0    0     0   174 7410 13188 26  7 67  0  0
 2  1      0 339092  27144 661916    0    0     1   797 7640 13454 27  8 64  1  0
 8  1      0 306912  27204 693084    0    0     1  2710 7555 13235 29  8 49 14  0
 4  0      0 285688  27240 716004    0    0     1  1569 7618 13272 27  8 53 13  0
 2  0      0 285988  27272 716680    0    0     0  1330 7570 13332 27  8 64  2  0
 5  0      0 284296  27308 717848    0    0     0   203 7503 13243 27  8 66  0  0
 7  0      0 281892  27340 719312    0    0     0   131 7426 13149 28  8 64  0  0
 3  1      0 259604  27508 742432    0    0     1  1251 7649 13422 28  8 63  0  0
 3  1      0 230520  27552 770124    0    0     1  2249 7681 13350 29  8 49 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 210916  27600 788956    0    0     1  2517 7504 13131 29  8 54  9  0
 0  0      0 211240  27640 790188    0    0     0   196 7567 13243 27  8 65  0  0
 1  0      0 209256  27672 791488    0    0     0   132 7398 13222 27  8 65  0  0
 3  0      0 207300  27704 792612    0    0     0   187 7387 13002 28  7 65  0  0
 7  1      0 198676  27876 797952    0    0     0   470 7687 13339 29  8 62  1  0
 6  2      0 169600  27952 826716    0    0     2  2478 7636 13106 31  9 47 13  0
 5  1      0 163088  27996 831604    0    0     1  2323 7660 13057 32  9 43 16  0
 1  1      0 369304  28032 628064    0    0     0  1564 7821 13318 30  9 48 13  0
 2  0      0 411372  28096 586124    0    0     0   189 7491 13164 27  8 56  8  0
 5  0      0 380976  28144 608132    0    0  2107   137 10223 13385 38 14 47  0  0
 9  1      0 362228  28276 624892    0    0     6  1077 12355 14477 37 16 48  0  0
 3  0      0 333204  28364 660768    0    0     1  3427 9196 13575 30 11 48 11  0
 4  1      0 332212  28396 663112    0    0     0   355 7394 13072 26  7 58  9  0
 5  0      0 329052  28464 666352    0    0     4   201 7404 13095 28  7 64  1  0
 0  0      0 326852  28508 668620    0    0     0   477 7375 13076 27  7 65  0  0
 0  0      0 326064  28544 669948    0    0     0   129 7432 13161 28  7 65  0  0
 0  1      0 306632  28664 687168    0    0     1  1046 7625 13431 28  8 64  0  0
 2  1      0 263656  28732 731592    0    0     1  3270 7585 13144 28  8 50 14  0
 5  1      0 251156  28764 744668    0    0     0  2014 7551 13163 27  8 59  5  0
 5  0      0 250080  28788 745952    0    0     0   319 7423 13119 27  8 64  1  0
 0  0      0 249308  28820 747048    0    0     0   131 7322 13036 26  8 66  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 247564  28848 748516    0    0     0   199 7478 13281 26  8 66  0  0
 2  1      0 228616  28972 765736    0    0     0  1042 7425 13346 26  7 66  1  0
 0  1      0 192156  29032 802444    0    0     1  3356 7548 13301 26  8 52 14  0
 4  0      0 169804  29104 825504    0    0     1  1963 7463 13097 26  8 58  7  0
 0  0      0 168688  29140 826640    0    0     0   406 7412 13169 27  7 65  0  0
 0  0      0 166856  29168 827988    0    0     0   205 7417 13248 26  7 67  0  0
 2  0      0 168344  29200 829240    0    0     0   189 7327 13205 27  7 66  0  0
 0  1      0 146872  29316 845372    0    0     0  1000 7612 13447 27  8 65  0  0
 1  1      0 140856  29392 852940    0    0    10  3303 7837 13688 28  9 50 14  0
 0  0      0 394788  29464 600272    0    0     0  1909 7656 13338 27  9 52 12  0
 2  0      0 393792  29504 601640    0    0     0   156 7526 13334 28  7 65  0  0
 4  0      0 392336  29528 602904    0    0     0   185 7443 13304 27  7 65  0  0
 2  0      0 389640  29560 604148    0    0     0   130 7387 13310 26  7 67  0  0
 1  1      0 373452  29696 620140    0    0     1  1027 7485 13474 27  8 65  1  0
 5  0      0 341588  29736 652720    0    0     1  3006 7262 13084 26  8 52 14  0
 4  0      0 320576  29784 673968    0    0     0  1884 7378 13264 25  8 60  8  0
 5  0      0 317936  29812 675412    0    0     0   433 7295 13272 26  7 65  2  0
 2  0      0 318000  29848 676568    0    0     0   204 7419 13334 25  7 67  0  0
 5  0      0 317068  29892 677856    0    0     0   131 7478 13341 25  7 67  0  0
 1  1      0 297852  30008 694772    0    0     0  1045 7567 13498 26  8 65  1  0
 4  1      0 256740  30076 735544    0    0     1  3419 7530 13251 26  8 52 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 237712  30120 754704    0    0     0  2150 7415 13292 26  8 60  6  0
