16时00分16秒,cpu,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%idle
16时04分16秒,3,54.53,0.00,4.43,0.20,0.00,0.00,0.00,0.00,40.85
16时04分21秒,all,40.54,0.00,6.00,0.05,0.00,0.36,0.00,0.00,53.05
16时04分21秒,0,25.10,0.00,14.23,0.00,0.00,1.46,0.00,0.00,59.21
16时04分21秒,1,48.60,0.00,1.00,0.00,0.00,0.00,0.00,0.00,50.40
16时04分21秒,2,33.27,0.00,5.31,0.20,0.00,0.00,0.00,0.00,61.22
16时04分21秒,3,54.62,0.00,3.61,0.00,0.00,0.00,0.00,0.00,41.77
16时04分26秒,all,43.34,0.00,6.31,0.00,0.00,0.31,0.00,0.00,50.05
16时04分26秒,0,22.76,0.00,13.99,0.00,0.00,1.25,0.00,0.00,62.00
16时04分26秒,1,53.32,0.00,0.80,0.00,0.00,0.00,0.00,0.00,45.88
16时04分26秒,2,37.60,0.00,5.89,0.00,0.00,0.00,0.00,0.00,56.50
16时04分26秒,3,58.87,0.00,4.84,0.00,0.00,0.00,0.00,0.00,36.29
16时04分31秒,all,39.72,0.00,5.92,0.05,0.00,0.36,0.00,0.00,53.95
16时04分31秒,0,23.59,0.00,13.99,0.00,0.00,1.46,0.00,0.00,60.96
16时04分31秒,1,42.86,0.00,1.01,0.00,0.00,0.00,0.00,0.00,56.14
16时04分31秒,2,33.95,0.00,4.91,0.00,0.00,0.00,0.00,0.00,61.15
16时04分31秒,3,58.03,0.00,4.02,0.20,0.00,0.00,0.00,0.00,37.75
16时04分36秒,all,38.41,0.00,5.65,0.00,0.00,0.25,0.00,0.00,55.68
16时04分36秒,0,21.01,0.00,11.97,0.21,0.00,1.05,0.00,0.00,65.76
16时04分36秒,1,44.09,0.00,0.60,0.00,0.00,0.00,0.00,0.00,55.31
16时04分36秒,2,33.60,0.00,6.11,0.00,0.00,0.00,0.00,0.00,60.29
16时04分36秒,3,53.71,0.00,4.41,0.00,0.00,0.00,0.00,0.00,41.88
16时04分41秒,all,41.45,0.00,6.11,0.00,0.00,0.41,0.00,0.00,52.04
16时04分41秒,0,24.48,0.00,13.60,0.00,0.00,1.67,0.00,0.00,60.25
16时04分41秒,1,44.56,0.00,0.81,0.00,0.00,0.00,0.00,0.00,54.64
16时04分41秒,2,39.10,0.00,6.11,0.00,0.00,0.00,0.00,0.00,54.79
16时04分41秒,3,57.14,0.00,4.02,0.00,0.00,0.00,0.00,0.00,38.83
16时04分46秒,all,38.35,0.00,5.76,0.05,0.00,0.36,0.00,0.00,55.48
16时04分46秒,0,22.55,0.00,12.73,0.00,0.00,1.46,0.00,0.00,63.26
